company,pride_sponsor,hrc_pledge,contribution_amount,n_politicians,n_states,fortune_500
Toyota,TRUE,FALSE,601500,7,3,FALSE
AT&T,TRUE,TRUE,307137.52,67,6,TRUE
Charter Communications,FALSE,FALSE,168077.15,34,5,TRUE
Enterprise Products Partners,FALSE,FALSE,160000,1,1,TRUE
Comcast,TRUE,FALSE,121350,40,4,TRUE
Berkshire Hathaway,FALSE,FALSE,100000,1,1,TRUE
Valero Energy,FALSE,FALSE,93500,6,2,TRUE
Amazon,TRUE,TRUE,87900,17,1,TRUE
FedEx,TRUE,FALSE,79700,24,2,TRUE
State Farm,TRUE,FALSE,79550,32,3,TRUE
American Electric Power,FALSE,FALSE,65000,1,1,TRUE
Vistra,FALSE,FALSE,62500,2,1,TRUE
Tenet Healthcare,FALSE,FALSE,61549,3,2,TRUE
UnitedHealth Group,FALSE,FALSE,58150,16,2,TRUE
Union Pacific,FALSE,TRUE,52400,6,3,TRUE
Anthem,FALSE,FALSE,50000,1,1,TRUE
General Motors,TRUE,TRUE,48500,10,4,TRUE
Farmers Insurance,FALSE,FALSE,47100,16,3,TRUE
Budweiser,TRUE,FALSE,45250,24,4,FALSE
USAA,FALSE,FALSE,45000,1,1,TRUE
Molina Healthcare,FALSE,FALSE,44500,7,3,TRUE
Centene,FALSE,FALSE,43500,5,3,TRUE
Marathon Petroleum,FALSE,FALSE,42000,7,3,TRUE
Pfizer,FALSE,TRUE,41450,20,5,TRUE
Enterprise,TRUE,FALSE,41300,30,6,FALSE
Wells Fargo,FALSE,TRUE,40500,4,2,TRUE
Magellan Health,FALSE,FALSE,40000,1,1,TRUE
Exelon,FALSE,FALSE,40000,1,1,TRUE
Cigna,FALSE,FALSE,40000,21,3,TRUE
CVS Health,FALSE,TRUE,35750,11,3,TRUE
NRG Energy,FALSE,FALSE,35000,1,1,TRUE
Jack Daniel's (Brown-Forman),TRUE,FALSE,34250,13,1,FALSE
CenterPoint Energy,FALSE,FALSE,32500,2,1,TRUE
Walt Disney,FALSE,FALSE,32000,9,1,TRUE
Boeing,FALSE,FALSE,31000,9,4,TRUE
Publix Super Markets,FALSE,FALSE,29500,22,3,TRUE
ConocoPhillips,TRUE,FALSE,27502.64,2,1,TRUE
NextEra Energy,FALSE,FALSE,27500,9,3,TRUE
Nucor,FALSE,FALSE,26500,15,2,TRUE
Merck,FALSE,TRUE,26300,22,3,TRUE
Walmart,TRUE,FALSE,25500,8,3,TRUE
Altria Group,FALSE,FALSE,23800,14,4,TRUE
Jacobs (Jacobs Engineering Group),FALSE,FALSE,22500,1,1,TRUE
Exxon Mobil,FALSE,FALSE,22500,7,3,TRUE
Chevron,TRUE,FALSE,21000,6,2,TRUE
Commercial Metals,FALSE,FALSE,20750,2,2,TRUE
Allstate,FALSE,FALSE,19700,10,5,TRUE
Eli Lilly,FALSE,FALSE,19450,12,4,TRUE
Raytheon Technologies,FALSE,FALSE,17250,8,2,TRUE
CSX,FALSE,FALSE,17000,15,2,TRUE
Norfolk Southern,FALSE,FALSE,16900,26,2,TRUE
Duke Energy,FALSE,FALSE,16000,8,1,TRUE
Verizon Communications,FALSE,FALSE,15000,6,3,TRUE
Home Depot,FALSE,FALSE,15000,6,3,TRUE
Energy Transfer,FALSE,FALSE,15000,1,1,TRUE
Lumen Technologies,FALSE,FALSE,13777.67,7,4,TRUE
Textron,FALSE,FALSE,13500,1,1,TRUE
Southwest Airlines,FALSE,FALSE,12750,8,2,TRUE
JPMorgan Chase,TRUE,FALSE,11500,3,2,TRUE
NBC,TRUE,FALSE,11000,7,1,FALSE
Humana,FALSE,FALSE,10750,11,2,TRUE
Ford Motor,FALSE,FALSE,10250,2,2,TRUE
Targa Resources,FALSE,FALSE,10000,1,1,TRUE
PNC,TRUE,FALSE,10000,1,1,TRUE
Dow,FALSE,FALSE,10000,1,1,TRUE
Bank of America,TRUE,FALSE,10000,1,1,TRUE
Vertex Pharmaceuticals,FALSE,FALSE,9750,6,2,TRUE
Caterpillar,FALSE,FALSE,9500,6,4,TRUE
Motorola Solutions,FALSE,FALSE,9000,2,2,TRUE
Entergy,FALSE,FALSE,8250,1,1,TRUE
DaVita,FALSE,FALSE,8250,6,3,TRUE
Aetna,TRUE,FALSE,8250,5,2,FALSE
Waste Management,FALSE,FALSE,7500,12,2,TRUE
Texas Instruments,FALSE,FALSE,7500,1,1,TRUE
AutoZone,FALSE,FALSE,7200,2,1,TRUE
Freeport-McMoRan,FALSE,FALSE,6950,8,1,TRUE
Lockheed Martin,FALSE,FALSE,6500,2,2,TRUE
International Paper,FALSE,FALSE,6500,8,3,TRUE
Cox Enterprises,TRUE,FALSE,6500,6,2,FALSE
PepsiCo,FALSE,TRUE,6250,7,2,TRUE
Abbott Laboratories,FALSE,FALSE,6050,3,2,TRUE
Truist,TRUE,FALSE,6000,7,1,TRUE
AbbVie,FALSE,FALSE,6000,2,2,TRUE
United Airlines Holdings,FALSE,FALSE,5000,1,1,TRUE
Tyson Foods,FALSE,FALSE,5000,5,1,TRUE
Occidental Petroleum,FALSE,FALSE,5000,1,1,TRUE
McDonald's,FALSE,FALSE,5000,1,1,TRUE
Eastman Chemical,FALSE,FALSE,5000,1,1,TRUE
Constellation Brands,FALSE,FALSE,5000,1,1,TRUE
Cheniere Energy,FALSE,FALSE,5000,1,1,TRUE
Unum Group,FALSE,FALSE,4850,7,1,TRUE
Walgreens,TRUE,FALSE,4500,6,3,TRUE
Erie Insurance Group,FALSE,FALSE,4500,7,1,TRUE
McKesson,FALSE,TRUE,4450,5,2,TRUE
Sysco,TRUE,FALSE,4000,2,2,TRUE
Regions Financial,FALSE,FALSE,3000,5,2,TRUE
Oneok,FALSE,FALSE,3000,1,1,TRUE
LKQ,FALSE,FALSE,3000,5,3,TRUE
Community Health Systems,FALSE,FALSE,3000,4,1,TRUE
Citigroup,TRUE,FALSE,3000,2,2,TRUE
Capital One,TRUE,TRUE,2500,1,1,TRUE
Applied Materials,FALSE,FALSE,2500,1,1,TRUE
Taylor Morrison Home,FALSE,FALSE,2000,3,2,TRUE
Microsoft,TRUE,TRUE,2000,2,1,TRUE
Lowe's,FALSE,FALSE,2000,2,1,TRUE
Johnson & Johnson,TRUE,TRUE,1750,3,3,TRUE
Prudential Financial (U.S.),FALSE,FALSE,1250,2,1,TRUE
Nationwide,FALSE,FALSE,1250,3,2,TRUE
Visa,FALSE,FALSE,1000,1,1,TRUE
Trulieve,TRUE,FALSE,1000,1,1,FALSE
Southern Company,FALSE,FALSE,1000,1,1,TRUE
Mosaic,FALSE,FALSE,1000,2,1,TRUE
Lennar,FALSE,FALSE,1000,1,1,TRUE
Intel,FALSE,TRUE,1000,2,1,TRUE
Gilead,TRUE,FALSE,1000,1,1,TRUE
Frontier Communications,FALSE,FALSE,1000,1,1,TRUE
Cummins,FALSE,FALSE,1000,2,1,TRUE
3M,FALSE,FALSE,1000,1,1,TRUE
Republic Services,FALSE,FALSE,950,3,1,TRUE
Target,TRUE,TRUE,500,1,1,TRUE
Quest Diagnostics,FALSE,FALSE,500,1,1,TRUE
Outfront,TRUE,FALSE,500,1,1,FALSE
Honeywell International,FALSE,FALSE,500,1,1,TRUE
Amgen,FALSE,FALSE,500,1,1,TRUE
Tractor Supply,FALSE,FALSE,225.16,1,1,TRUE
